id,english,telugu
69,Will you ask the waitress to bring me a straw?,నాకు గడ్డిని తీసుకురావాలని వెయిట్రెస్ ను అడుగుతారా?
70,Please scale the fish.,దయచేసి చేపలను స్కేల్ చేయండి.
71,I'm perfectly happy here.,నేను ఇక్కడ పూర్తిగా సంతోషంగా ఉన్నాను.
72,Don't waste your time.,మీ సమయాన్ని వృథా చేయవద్దు.
73,What is it you want to tell us?,మీరు మాకు ఏమి చెప్పాలనుకుంటున్నారు?
74,Would you please autograph this book?,దయచేసి మీరు ఈ పుస్తకాన్ని ఆటోగ్రాఫ్ చేస్తారా?
75,Would you rather eat a mouse or a tarantula?,మీరు ఎలుక లేదా టరాన్టులా తింటారా?
76,Would you have helped me if I'd asked you to?,నేను మిమ్మల్ని అడిగితే మీరు నాకు సహాయం చేస్తారా?
77,I'll be glad to help you.,నేను మీకు సహాయం చేసినందుకు సంతోషిస్తాను.
78,I want you to tell me everything you know about that.,దాని గురించి మీకు తెలిసిన ప్రతిదాన్ని మీరు నాకు చెప్పాలని నేను కోరుకుంటున్నాను.
79,You're a father now.,మీరు ఇప్పుడు తండ్రి.
80,I think that would help.,అది సహాయపడుతుందని నేను అనుకుంటున్నాను.
81,I want more.,నాకు ఎక్కువ కావాలి.
82,I wanted to study French.,నేను ఫ్రెంచ్ చదువుకోవాలనుకున్నాను.
83,I'll tell you what's going on.,ఏమి జరుగుతుందో నేను మీకు చెప్తాను.
84,I've promised to go.,నేను వెళ్తానని వాగ్దానం చేశాను.
85,I like the same things you do.,మీరు చేసే పనులు నాకు చాలా ఇష్టం.
86,I'm only too happy to help.,నేను సహాయం చేయడానికి చాలా సంతోషంగా ఉన్నాను.
87,I want this computer repaired.,నేను ఈ కంప్యూటర్ మరమ్మతు చేయాలనుకుంటున్నాను.
88,I like yellow.,నాకు పసుపు అంటే ఇష్టం.
89,Please tell me how to do this.,దీన్ని ఎలా చేయాలో దయచేసి నాకు చెప్పండి.
90,I'm glad you volunteered to help.,మీరు సహాయం చేయడానికి స్వచ్ఛందంగా ముందుకు వచ్చినందుకు నాకు సంతోషం.
91,I wanted to see you.,నాకు నిన్ను చూడాలని ఉంది.
92,I was lucky that I got treated by a good doctor.,నేను మంచి డాక్టర్ చేత చికిత్స పొందడం నా అదృష్టం.
93,Can you tell me how to get to the airport?,విమానాశ్రయానికి ఎలా చేరుకోవాలో చెప్పగలరా?
94,I'm going to go get some milk.,నేను కొంచెం పాలు తీసుకుంటాను.
95,I've called a doctor.,నేను డాక్టర్‌ని పిలిచాను.
96,I wanted to speak with you about this.,దీని గురించి మీతో మాట్లాడాలనుకున్నాను.
97,Don't take your mask off.,మీ ముసుగు తీయకండి.
98,Give me another one.,నాకు మరొకటి ఇవ్వండి.
99,I want to get a haircut before I go on the trip.,నేను యాత్రకు వెళ్ళే ముందు హ్యారీకట్ పొందాలనుకుంటున్నాను.
100,"I'm sorry, but you need to leave.","నన్ను క్షమించండి, కానీ మీరు బయలుదేరాలి."
101,I'll go in a minute.,నేను ఒక నిమిషం లో వెళ్తాను.
102,Could you come over right now?,మీరు ఇప్పుడే రాగలరా?
103,She is his real mother.,ఆమె అతని నిజమైన తల్లి.
104,I'll call.,నేను కాల్ చేస్తాను.
105,I'll do that when my turn comes.,నా వంతు వచ్చినప్పుడు నేను చేస్తాను.
106,I don't speak French at home.,నేను ఇంట్లో ఫ్రెంచ్ మాట్లాడను.
107,I want an apple.,నాకు ఆపిల్ కావాలి.
108,I think I'll be busy this week.,నేను ఈ వారం బిజీగా ఉంటానని అనుకుంటున్నాను.
109,I'm used to going to bed early.,నేను ప్రారంభ మంచానికి వెళ్ళడం అలవాటు చేసుకున్నాను.
110,I don't feel sorry for myself.,నా గురించి నాకు బాధ లేదు.
111,I want to lodge a formal complaint.,నేను అధికారిక ఫిర్యాదు చేయాలనుకుంటున్నాను.
112,Tell me about your job.,మీ ఉద్యోగం గురించి చెప్పు.
113,I think we should wait a little longer.,మనం కొంచెంసేపు వేచి ఉండాలని అనుకుంటున్నాను.
114,Could you tell us something about yourself?,మీ గురించి మాకు ఏదైనా చెప్పగలరా?
115,Please go to the bank.,దయచేసి బ్యాంకుకు వెళ్లండి.
116,I need to get out of Boston.,నేను బోస్టన్ నుండి బయటపడాలి.
117,I think you're just wasting your time.,మీరు మీ సమయాన్ని వృధా చేస్తున్నారని నేను అనుకుంటున్నాను.
118,I have something to give to you.,నేను మీకు ఇవ్వడానికి ఏదో ఉంది.
119,Let me give you my personal opinion.,నా వ్యక్తిగత అభిప్రాయాన్ని మీకు తెలియజేస్తాను.
120,I want to start a family.,నేను ఒక కుటుంబాన్ని ప్రారంభించాలనుకుంటున్నాను.
121,I have read the book.,నేను పుస్తకం చదివాను.
122,"Help me, please.",దయచెసి నాకు సహయమ్ చెయ్యి.
123,I don't want you to be nervous.,మీరు నాడీగా ఉండాలని నేను కోరుకోను.
124,I want to join you.,నేను మీతో చేరాలనుకుంటున్నాను.
125,I don't love my husband.,నేను నా భర్తను ప్రేమించను.
126,I've gotten used to it.,నేను అలవాటు పడ్డాను.
127,Tell me how to spell your name.,మీ పేరును ఎలా ఉచ్చరించాలో చెప్పు.
128,"I don't know her, nor do I want to.","నాకు ఆమెను తెలియదు, నేను కోరుకోను."
129,I don't eat green peppers at all.,నేను పచ్చి మిరియాలు తినను.
130,I'm playing with my friends.,నేను నా స్నేహితులతో ఆడుతున్నాను.
131,I need a new hobby.,నాకు కొత్త అభిరుచి అవసరం.
132,I want this telephone.,నాకు ఈ టెలిఫోన్ కావాలి.
133,Could you please speak a little louder?,మీరు కొంచెం బిగ్గరగా మాట్లాడగలరా?
134,I need to buy one.,నేను ఒకటి కొనాలి.
135,I don't want to hear any more excuses.,నేను ఇక సాకులు వినడానికి ఇష్టపడను.
136,I've been waiting.,నేను వేచి ఉన్నాను.
137,Let's play cards.,కార్డులు ప్లే చేద్దాం.
138,I was just trying to do my job.,నేను నా పని చేయడానికి ప్రయత్నిస్తున్నాను.
139,You have your mother's eyes.,మీకు మీ తల్లి కళ్ళు ఉన్నాయి.
140,How many windows are there?,ఎన్ని కిటికీలు ఉన్నాయి?
141,I wanted this.,నేను దీన్ని కోరుకున్నాను.
142,I need to decide what to do.,నేను ఏమి చేయాలో నిర్ణయించుకోవాలి.
143,You're just in time.,మీరు సమయం లో ఉన్నారు.
144,Let me tell you a little about myself.,నా గురించి కొంచెం చెప్తాను.
145,I've been called worse.,నేను అధ్వాన్నంగా పిలువబడ్డాను.
146,Please sign this receipt.,దయచేసి ఈ రశీదుపై సంతకం చేయండి.
147,How much honey do you need?,మీకు ఎంత తేనె అవసరం?
148,I feel like I've been cheated.,నేను మోసపోయినట్లు అనిపిస్తుంది.
149,Would you like to have coffee?,మీరు కాఫీ కావాలనుకుంటున్నారా?
150,Would you care for more cookies?,మీరు మరిన్ని కుకీల కోసం శ్రద్ధ వహిస్తారా?
151,I'll go with you if you like.,మీకు నచ్చితే నేను మీతో వెళ్తాను.
152,Please speak slowly.,దయచేసి మెల్లగా మాట్లాడండి.
153,I like strawberries.,నాకు స్ట్రాబెర్రీ అంటే ఇష్టం.
154,I want you to go to your room and lock the door.,మీరు మీ గదికి వెళ్లి తలుపు తీయాలని నేను కోరుకుంటున్నాను.
155,I know you don't want to talk to me.,మీరు నాతో మాట్లాడకూడదని నాకు తెలుసు.
156,I like old cars.,నాకు పాత కార్లు చాలా ఇష్టం.
157,I need to know who I have to give this to.,నేను ఎవరికి ఇవ్వాలో తెలుసుకోవాలి.
158,I have to find a new job.,నేను కొత్త ఉద్యోగం వెతకాలి.
159,I liked that movie.,ఆ సినిమా నాకు బాగా నచ్చింది.
160,I think we have bought everything we need.,మనకు అవసరమైన ప్రతిదాన్ని కొన్నాను.
161,I'm always ready.,నేను ఎప్పుడూ సిద్ధంగా ఉన్నాను.
162,I have to put the kids to bed.,నేను పిల్లలను పడుకోవాలి.
163,I want to stay home and sleep all day.,నేను రోజంతా ఇంట్లోనే ఉండి నిద్రపోవాలనుకుంటున్నాను.
164,I'm sorry to disturb you this late.,ఈ ఆలస్యంగా మీకు భంగం కలిగించినందుకు క్షమించండి.
165,I've decided to stop eating meat.,నేను మాంసం తినడం మానేయాలని నిర్ణయించుకున్నాను.
166,We have to go there together.,మేము కలిసి అక్కడకు వెళ్ళాలి.
167,I want to know how long it'll take.,ఎంత సమయం పడుతుందో తెలుసుకోవాలనుకుంటున్నాను.
168,You're one of the most intelligent people I know.,నాకు తెలిసిన అత్యంత తెలివైన వ్యక్తులలో మీరు ఒకరు.
169,I'm not any good at math.,నేను గణితంలో ఏమాత్రం మంచిది కాదు.
170,"Could you talk more slowly, please?",దయచేసి మీరు మరింత నెమ్మదిగా మాట్లాడగలరా?
171,"She is likely to refuse to follow his advice, because she does not like him.","ఆమె అతని సలహాను పాటించటానికి నిరాకరించే అవకాశం ఉంది, ఎందుకంటే ఆమె అతన్ని ఇష్టపడదు."
172,I liked walking alone on the deserted beach.,నేను నిర్జనమైన బీచ్‌లో ఒంటరిగా నడవడం ఇష్టపడ్డాను.
173,I know you don't care what happens.,ఏమి జరుగుతుందో మీరు పట్టించుకోరని నాకు తెలుసు.
174,I'm going to major in French.,నేను ఫ్రెంచ్‌లో మేజర్‌కు వెళ్తున్నాను.
175,Please don't let me die.,దయచేసి నన్ను చనిపోనివ్వవద్దు.
176,I know that you aren't ready.,మీరు సిద్ధంగా లేరని నాకు తెలుసు.
177,I don't think that there is any way I can help.,నేను సహాయం చేయగల మార్గం ఉందని నేను అనుకోను.
178,Give me the report.,నాకు రిపోర్ట్ ఇవ్వండి.
179,It's probably cold in Boston now.,ఇది ఇప్పుడు బోస్టన్‌లో చల్లగా ఉంటుంది.
180,I'm going to wait outside.,నేను బయట వేచి ఉండబోతున్నాను.
181,"I'm sorry, but I don't want to talk about it.","నన్ను క్షమించండి, కానీ నేను దాని గురించి మాట్లాడటానికి ఇష్టపడను."
182,I'll help you if you're in trouble.,మీరు ఇబ్బందుల్లో ఉంటే నేను మీకు సహాయం చేస్తాను.
183,There is enough time to finish this homework.,ఈ హోంవర్క్ పూర్తి చేయడానికి తగినంత సమయం ఉంది.
184,I'll take the risk.,నేను రిస్క్ తీసుకుంటాను.
185,I have to go to the station at once.,నేను ఒకేసారి స్టేషన్‌కు వెళ్ళాలి.
186,I think that we need to do that.,మనం అలా చేయాల్సిన అవసరం ఉందని నేను అనుకుంటున్నాను.
187,I'm sure you're going to have a wonderful time.,మీరు అద్భుతమైన సమయాన్ని పొందబోతున్నారని నేను ఖచ్చితంగా అనుకుంటున్నాను.
188,Let's make sure we've got everything we need.,మనకు అవసరమైన ప్రతిదాన్ని పొందారని నిర్ధారించుకుందాం.
189,He is careless in everything.,అతను ప్రతి విషయంలో అజాగ్రత్తగా ఉంటాడు.
190,Don't scare me like that!,నన్ను అలా భయపెట్టవద్దు!
191,Let's eat first.,మొదట తినండి.
192,I think I'd be a good father.,నేను మంచి తండ్రిని అవుతాను.
193,I'm very happy for you.,నేను మీ కోసం చాలా సంతోషంగా ఉన్నాను.
194,Please open the door.,దయచేసి తలుపు తెరవండి.
195,Will you be at home this afternoon?,ఈ మధ్యాహ్నం మీరు ఇంట్లో ఉంటారా?
196,I don't know whether he'll come by train or by car.,అతను రైలులో లేదా కారులో వస్తాడో లేదో నాకు తెలియదు.
197,I have a few books.,నా దగ్గర కొన్ని పుస్తకాలు ఉన్నాయి.
198,There is no sense in your worrying about your health so much.,మీ ఆరోగ్యం గురించి మీరు అంతగా బాధపడటంలో అర్థం లేదు.
199,Help me and I'll help you.,నాకు సహాయం చేయండి మరియు నేను మీకు సహాయం చేస్తాను.
200,"I'm not very good at this. ""Neither am I.""",నేను ఈ విషయంలో చాలా మంచిది కాదు.
201,I hate my roommate.,నేను నా రూమ్‌మేట్‌ను ద్వేషిస్తున్నాను.
202,Tell me what you ate.,మీరు ఏమి తిన్నారో చెప్పు.
203,I think I left something in the classroom.,నేను తరగతి గదిలో ఏదో వదిలిపెట్టాను.
204,I know what it's like to be lonely.,ఒంటరిగా ఉండటం అంటే ఏమిటో నాకు తెలుసు.
205,I've decided to buy the blue car instead of the red one.,నేను ఎరుపు రంగుకు బదులుగా నీలం కారు కొనాలని నిర్ణయించుకున్నాను.
206,Don't worry. I'm not going anywhere.,చింతించకండి.
207,I like fish sticks.,నాకు చేపల కర్రలు ఇష్టం.
208,I want you to do this.,మీరు దీన్ని చేయాలనుకుంటున్నాను.
209,I wasn't told where we were going.,మేము ఎక్కడికి వెళ్తున్నామో నాకు చెప్పలేదు.
210,I won't go so easy on you next time.,నేను తదుపరిసారి మీపై అంత తేలికగా వెళ్ళను.
211,"You're angry, aren't you?","మీరు కోపంగా ఉన్నారు, లేదా?"
212,I'm trying to get in touch with my sister.,నేను నా సోదరితో సన్నిహితంగా ఉండటానికి ప్రయత్నిస్తున్నాను.
213,How much wine did you buy?,మీరు ఎంత వైన్ కొన్నారు?
214,I don't think I could forgive myself if I did that.,నేను అలా చేస్తే నన్ను నేను క్షమించగలనని అనుకోను.
215,I have a wife and three children.,"నాకు భార్య, ముగ్గురు పిల్లలు ఉన్నారు."
216,I don't even have time for reading.,నాకు చదవడానికి కూడా సమయం లేదు.
217,I wish I didn't have to do all those things I don't want to do.,నేను చేయకూడదనుకునే పనులన్నీ నేను చేయనవసరం లేదని నేను కోరుకుంటున్నాను.
218,I think you'll be pleased.,మీరు సంతోషిస్తారని నేను అనుకుంటున్నాను.
219,How many times have you seen this movie?,ఈ సినిమాను మీరు ఎన్నిసార్లు చూశారు?
220,Will you open the door?,మీరు తలుపు తెరుస్తారా?
221,I want to do something.,నేను ఏదో చేయాలనుకుంటున్నాను.
222,I have a twin brother.,నాకు కవల సోదరుడు ఉన్నారు.
223,I've always wanted to see Boston.,నేను ఎప్పుడూ బోస్టన్‌ను చూడాలనుకుంటున్నాను.
224,I'll help you if possible.,వీలైతే నేను మీకు సహాయం చేస్తాను.
225,I need a secretary.,నాకు ఒక కార్యదర్శి కావాలి.
226,I don't think you need it.,మీకు ఇది అవసరమని నేను అనుకోను.
227,I am doing my homework.,నేను నా హోమ్వర్క్ చేస్తున్నాను.
228,I want to do that as often as I can.,నేను వీలైనంత తరచుగా చేయాలనుకుంటున్నాను.
229,Give me a call.,నాకు కాల్ చెయ్యి.
230,You're a great writer.,మీరు గొప్ప రచయిత.
231,It is necessary for you to see a doctor at once.,మీరు ఒకేసారి వైద్యుడిని చూడటం అవసరం.
232,He is famous as a doctor.,అతను డాక్టర్‌గా ప్రసిద్ధి చెందాడు.
233,There is a cat under the bed.,మంచం క్రింద ఒక పిల్లి ఉంది.
234,I don't want to be a hero.,నేను హీరో అవ్వాలనుకోవడం లేదు.
235,I don't like this neighborhood much.,ఈ పరిసరం నాకు పెద్దగా ఇష్టం లేదు.
236,I like this job.,నాకు ఈ ఉద్యోగం ఇష్టం.
237,Listen to the rain.,వర్షం వినండి.
238,Can you come back in here?,మీరు ఇక్కడకు తిరిగి రాగలరా?
239,I'll be very busy next month.,వచ్చే నెలలో నేను చాలా బిజీగా ఉంటాను.
240,I want to tell you.,నేను నీకు చెప్పాలనుకుంటున్నాను.
241,I have sisters.,నాకు సోదరీమణులు ఉన్నారు.
242,I don't want anyone to know.,నేను ఎవరికీ తెలియకూడదనుకుంటున్నాను.
243,Would you like some popcorn?,మీరు కొంత పాప్‌కార్న్ కావాలనుకుంటున్నారా?
244,I remember your grandfather well.,మీ తాతను నాకు బాగా గుర్తుంది.
245,I'll come straight to the point. You're fired.,నేను నేరుగా పాయింట్‌కి వస్తాను.
246,Please give that to me.,దయచేసి నాకు ఇవ్వండి.
247,I was very busy all last week.,నేను గత వారం చాలా బిజీగా ఉన్నాను.
248,I was about to go out when he called on me.,అతను నన్ను పిలిచినప్పుడు నేను బయటకు వెళ్ళబోతున్నాను.
249,I need a lot more practice.,నాకు చాలా ఎక్కువ ప్రాక్టీస్ అవసరం.
250,I am acquainted with the chairman of that club.,ఆ క్లబ్ ఛైర్మన్‌తో నాకు పరిచయం ఉంది.
251,I am sorry that I have troubled you so much.,నేను మిమ్మల్ని చాలా ఇబ్బంది పెట్టానని క్షమించండి.
252,I want a person who can speak French.,నాకు ఫ్రెంచ్ మాట్లాడగల వ్యక్తి కావాలి.
253,I need those files.,నాకు ఆ ఫైల్స్ కావాలి.
254,I think you'll like it.,మీకు నచ్చుతుందని అనుకుంటున్నాను.
255,"I'm going, too.",నేను కూడా వెళ్తున్నాను.
256,"Give me an airmail stamp, please.",దయచేసి నాకు ఎయిర్ మెయిల్ స్టాంప్ ఇవ్వండి.
257,I'll go anywhere with you.,నేను మీతో ఎక్కడైనా వెళ్తాను.
258,I haven't used French in a long time and I've forgotten a lot of words.,నేను చాలా కాలంగా ఫ్రెంచ్ ఉపయోగించలేదు మరియు నేను చాలా పదాలను మరచిపోయాను.
259,I want to borrow your car for an hour.,నేను మీ కారును గంటసేపు అరువు తీసుకోవాలనుకుంటున్నాను.
260,"I'm sorry, today is fully booked.","క్షమించండి, ఈ రోజు పూర్తిగా బుక్ చేయబడింది."
261,Let's get out of the car now.,ఇప్పుడు కారు నుండి బయటికి వెళ్దాం.
262,I've never made a lot of money.,నేను ఎప్పుడూ పెద్దగా డబ్బు సంపాదించలేదు.
263,I'll lend you my textbook.,నా పాఠ్యపుస్తకాన్ని మీకు ఇస్తాను.
264,I like this sweater. I think I'll buy it.,ఈ స్వెటర్ నాకు చాలా ఇష్టం.
265,Would you like to leave a message for him?,మీరు అతని కోసం ఒక సందేశాన్ని ఇవ్వాలనుకుంటున్నారా?
266,What are they like?,అవి ఏమి ఇష్టం ఉంటాయి?
267,I'll go and get ready.,నేను వెళ్లి రెడీ అవుతాను.
268,I'll show you later.,నేను తరువాత చూపిస్తాను.
269,I like French class.,నాకు ఫ్రెంచ్ క్లాస్ అంటే ఇష్టం.
270,I want you to have a copy of this.,దీని కాపీని మీరు కలిగి ఉండాలని నేను కోరుకుంటున్నాను.
271,You're not welcome here.,మీకు ఇక్కడ స్వాగతం లేదు.
272,He is an individual with his own living space and his own sleeping space.,అతను తన సొంత జీవన స్థలం మరియు తన సొంత నిద్ర స్థలం ఉన్న వ్యక్తి.
273,Would you buy that?,మీరు దానిని కొనుగోలు చేస్తారా?
274,You should pay back your debts.,మీరు మీ అప్పులను తిరిగి చెల్లించాలి.
275,We have a holiday today.,ఈ రోజు మాకు సెలవు ఉంది.
276,Will you please explain to me the exact meaning of the word?,ఈ పదం యొక్క ఖచ్చితమైన అర్ధాన్ని మీరు నాకు వివరిస్తారా?
277,It's not a mistake.,ఇది పొరపాటు కాదు.
278,I don't like sewing because I can't thread the needle.,నేను సూదిని థ్రెడ్ చేయలేనందున నాకు కుట్టుపని ఇష్టం లేదు.
279,You should sleep.,మీరు నిద్రపోవాలి.
280,I hate cold winter days.,నేను చల్లని శీతాకాలపు రోజులను ద్వేషిస్తున్నాను.
281,I'm sorry to have kept you waiting.,మిమ్మల్ని వేచి ఉంచినందుకు క్షమించండి.
282,They are going to exhibit many famous old paintings at the gallery.,వారు గ్యాలరీలో చాలా ప్రసిద్ధ పాత చిత్రాలను ప్రదర్శించబోతున్నారు.
283,I need a few days to think about it.,దాని గురించి ఆలోచించడానికి నాకు కొన్ని రోజులు కావాలి.
284,Can you tell me what you're doing here?,మీరు ఇక్కడ ఏమి చేస్తున్నారో నాకు చెప్పగలరా?
285,I like disco music.,నాకు డిస్కో సంగీతం అంటే ఇష్టం.
286,I haven't seen you in a long time.,నేను మిమ్మల్ని చాలా కాలంగా చూడలేదు.
287,I didn't want to waste so much time.,నేను ఎక్కువ సమయం వృథా చేయకూడదనుకున్నాను.
288,Would you be so kind as to open the door for me?,నా కోసం తలుపు తెరిచేంత దయతో ఉంటారా?
289,It's cool today for July.,జూలై కోసం ఈ రోజు బాగుంది.
290,I wanted to kill you.,నేను నిన్ను చంపాలనుకున్నాను.
291,There is a park near my house.,నా ఇంటి దగ్గర ఒక పార్క్ ఉంది.
292,I don't like anything here.,నాకు ఇక్కడ ఏమీ నచ్చలేదు.
293,It's your body. Take care of it.,ఇది మీ శరీరం.
294,"I'm happy, too.",నేను కూడా సంతోషంగా ఉన్నాను.
295,I love movies with happy endings.,నేను హ్యాపీ ఎండింగ్స్‌తో సినిమాలను ప్రేమిస్తున్నాను.
296,I don't need a new TV.,నాకు కొత్త టీవీ అవసరం లేదు.
297,I'm not sure I want to do this.,నేను దీన్ని చేయాలనుకుంటున్నాను.
298,I want to give you something rare.,నేను మీకు అరుదైనదాన్ని ఇవ్వాలనుకుంటున్నాను.
299,Please explain the rule to me.,దయచేసి నియమాన్ని నాకు వివరించండి.
300,It's too late for me.,ఇది నాకు చాలా ఆలస్యం.
301,I'll take you there.,నేను నిన్ను అక్కడికి తీసుకెళతాను.
302,I like the color of your skirt.,మీ లంగా యొక్క రంగు నాకు చాలా ఇష్టం.
303,I think you should go there.,మీరు అక్కడికి వెళ్లాలని అనుకుంటున్నాను.
304,Give me some time to think.,ఆలోచించడానికి నాకు కొంత సమయం ఇవ్వండి.
305,I want some water.,నాకు కొంచెం నీరు కావాలి.
306,I wish she had come last night.,ఆమె గత రాత్రి వచ్చిందని నేను కోరుకుంటున్నాను.
307,I'll come by ferry.,నేను ఫెర్రీ ద్వారా వస్తాను.
308,I want to wait.,నేను వేచి ఉండాలనుకుంటున్నాను.
309,I need to get some shut-eye.,నేను కొంచెం కన్ను వేయాలి.
310,I'll be happy to answer your question.,నేను మీ ప్రశ్నకు సమాధానం ఇవ్వడం సంతోషంగా ఉంటుంది.
311,I don't eat a lot of fruit.,నేను చాలా పండు తినను.
312,I like to hunt.,నాకు వేటాడటం ఇష్టం.
313,Would you get me something to drink?,మీరు నాకు తాగడానికి ఏదైనా తెస్తారా?
314,I've got to get my license renewed.,నా లైసెన్స్ పునరుద్ధరించబడింది.
315,I've packed my suitcases already.,నేను ఇప్పటికే నా సూట్‌కేసులను ప్యాక్ చేసాను.
316,I can't forgive him for what he did.,అతను చేసిన పనికి నేను అతనిని క్షమించలేను.
